
#ALUMNO: ANGEL, GINER VIDAL
#EJERCICIO 3.8


Para un valor de 0.0000001 como distancia mínima de desplazamiento antes de considerarse la k como solución, obtenemos 2 k:

k= 0.49999999999999956, con un máximo de 2 iteraciones, se detiene el punto (0.9999999999999982, 1.0)

('Valor de k: ', 0.49999999999999956, 'Valor de j: ', 2, 'Punto(', (0.9999999999999982, 1.0))
('Valor de k: ', 0.49999999999999956, 'Iteracion: ', 0, ' Punto(', -1.0, 1.0)
('Valor de k: ', 0.49999999999999956, 'Iteracion: ', 1, ' Punto(', 0.9999999999999982, 1.0)
('Valor de k: ', 0.49999999999999956, ' Punto(', 0.9999999999999982, 1.0)



k= 0.10999999999999924, con un máximo de 185 iteraciones, se detiene el punto (0.9998119434832826, 0.9996163694672917)


('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 0, ' Punto(', -1.0, 1.0)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 1, ' Punto(', -0.560000000000003, 1.0)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 2, ' Punto(', -1.2340447999999986, 0.24496000000000906)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 3, ' Punto(', 1.2427096202551682, 1.1820914834984895)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 4, ' Punto(', 0.7341914000994714, 1.3813211277254283)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 5, ' Punto(', 1.290077002209276, 1.010716116797452)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 6, ' Punto(', 0.6611148419035495, 1.2503630535691177)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 7, ' Punto(', 1.009734694466981, 0.9947575560484456)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 8, ' Punto(', 0.9956905453758291, 1.0015793702679632)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 9, ' Punto(', 1.0007511867286965, 0.9990909971726606)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 10, ' Punto(', 0.9996726095717151, 0.999621624097232)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 11, ' Punto(', 0.9997896403051064, 0.9995663645433701)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 12, ' Punto(', 0.9997887457825504, 0.9995687406016782)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 13, ' Punto(', 0.9997893445132988, 0.9995702290864388)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 14, ' Punto(', 0.9997899825918459, 0.9995715654789362)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 15, ' Punto(', 0.9997905865158077, 0.999572803904706)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 16, ' Punto(', 0.9997911528659559, 0.999573960689582)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 17, ' Punto(', 0.9997916848645709, 0.9995750462808056)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 18, ' Punto(', 0.9997921861360815, 0.999576068895015)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 19, ' Punto(', 0.9997926599151079, 0.9995770353392387)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 20, ' Punto(', 0.9997931089901029, 0.9995779513621363)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 21, ' Punto(', 0.9997935357581883, 0.9995788218730083)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 22, ' Punto(', 0.9997939422888475, 0.9995796511000934)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 23, ' Punto(', 0.9997943303790816, 0.9995804427114952)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 24, ' Punto(', 0.9997947015985176, 0.9995811999099391)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 25, ' Punto(', 0.9997950573259017, 0.9995819255081777)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 26, ' Punto(', 0.9997953987786774, 0.9995826219896883)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 27, ' Punto(', 0.9997957270370981, 0.9995832915580037)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 28, ' Punto(', 0.9997960430640204, 0.9995839361771466)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 29, ' Punto(', 0.999796347721264, 0.9995845576050265)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 30, ' Punto(', 0.9997966417832256, 0.9995851574212217)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 31, ' Punto(', 0.9997969259482798, 0.9995857370502393)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 32, ' Punto(', 0.999797200848384, 0.99958629778111)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 33, ' Punto(', 0.9997974670572153, 0.9995868407839869)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 34, ' Punto(', 0.9997977250971016, 0.9995873671242833)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 35, ' Punto(', 0.9997979754449535, 0.9995878777747725)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 36, ' Punto(', 0.9997982185373647, 0.9995883736259926)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 37, ' Punto(', 0.9997984547750185, 0.9995888554952329)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 38, ' Punto(', 0.9997986845265081, 0.9995893241343282)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 39, ' Punto(', 0.9997989081316642, 0.9995897802364445)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 40, ' Punto(', 0.9997991259044616, 0.9995902244420098)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 41, ' Punto(', 0.9997993381355701, 0.9995906573439146)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 42, ' Punto(', 0.9997995450945971, 0.9995910794920885)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 43, ' Punto(', 0.9997997470320684, 0.9995914913975398)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 44, ' Punto(', 0.9997999441811821, 0.9995918935359321)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 45, ' Punto(', 0.9998001367593649, 0.9995922863507606)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 46, ' Punto(', 0.9998003249696588, 0.9995926702561785)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 47, ' Punto(', 0.9998005090019584, 0.9995930456395224)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 48, ' Punto(', 0.9998006890341187, 0.9995934128635707)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 49, ' Punto(', 0.9998008652329481, 0.9995937722685699)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 50, ' Punto(', 0.999801037755102, 0.9995941241740571)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 51, ' Punto(', 0.9998012067478876, 0.9995944688805016)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 52, ' Punto(', 0.999801372349991, 0.9995948066707876)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 53, ' Punto(', 0.9998015346921346, 0.9995951378115556)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 54, ' Punto(', 0.9998016938976736, 0.999595462554419)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 55, ' Punto(', 0.9998018500831376, 0.9995957811370685)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 56, ' Punto(', 0.9998020033587233, 0.9995960937842776)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 57, ' Punto(', 0.9998021538287438, 0.9995964007088187)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 58, ' Punto(', 0.999802301592039, 0.9995967021122999)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 59, ' Punto(', 0.99980244674235, 0.9995969981859298)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 60, ' Punto(', 0.9998025893686635, 0.9995972891112187)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 61, ' Punto(', 0.9998027295555264, 0.9995975750606211)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 62, ' Punto(', 0.9998028673833357, 0.9995978561981265)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 63, ' Punto(', 0.9998030029286045, 0.9995981326798025)
